Name	Age	Nationality	Club	Joined
A. Paschalakis	28	Greece	PAOK	2017-08-07
Fabrício	28	Brazil	Urawa Red Diamonds	2018-07-16
M. Coco	22	France	En Avant de Guingamp	2015-07-01
K. Babacar	25	Senegal	Sassuolo	2018-07-04
Postigo	29	Spain	Levante UD	2016-07-16
Renato Sanches	20	Portugal	FC Bayern München	2016-07-01
M. Caruzzo	33	Argentina	Rosario Central	2018-07-01
G. Konan	22	Ivory Coast	Stade de Reims	2018-07-01
S. Mounié	23	Benin	Huddersfield Town	2017-07-05
P. Capelle	31	France	Angers SCO	2015-07-01
T. Davies	20	England	Everton	2015-09-20
N. Dirar	32	Morocco	Fenerbahçe SK	2017-07-01
J. Toornstra	29	Netherlands	Feyenoord	2014-08-25
Paulinho	23	Brazil	Portimonense SC	2018-08-21
S. Larsson	25	Sweden	Feyenoord	2017-08-21
P. Tau	24	South Africa	NA	NA
J. Kluivert	19	Netherlands	Roma	2018-07-01
H. Ayala	31	Mexico	Tigres U.A.N.L.	2010-07-01
Miguel Silva	23	Portugal	Vitória Guimarães	2015-07-01
D. Rolán	25	Uruguay	CD Leganés	NA
L. Klostermann	22	Germany	RB Leipzig	2014-08-22
G. Rodríguez	23	Argentina	Club América	2017-06-14
M. Locatelli	20	Italy	Sassuolo	NA
F. Caputo	30	Italy	Empoli	2017-08-20
A. Roa	25	Colombia	Club Atlético Huracán	NA
Keko	26	Spain	Real Valladolid CF	NA
A. El Khayati	29	Netherlands	ADO Den Haag	2017-08-23
F. Schär	26	Switzerland	Newcastle United	2018-07-26
A. Haidara	20	Mali	FC Red Bull Salzburg	2017-05-01
Chema Rodríguez	26	Spain	Levante UD	2016-08-06
G. dos Santos	29	Mexico	LA Galaxy	2015-07-16
T. Bifouma	26	Congo	MKE Ankaragücü	2018-07-01
Dani Rochelinhas	26	Brazil	Chapecoense	2018-01-01
M. Ostrzolek	28	Germany	Hannover 96	2017-07-01
Sandro	22	Spain	Real Sociedad	NA
L. Deaux	29	France	En Avant de Guingamp	2016-07-01
J. Vuković	30	Serbia	Olympiacos CFP	2017-07-13
J. Hansen	33	Denmark	FC Midtjylland	2017-07-01
Gonçalo Paciência	23	Portugal	Eintracht Frankfurt	2018-07-12
Córdoba	21	Spain	Athletic Club de Bilbao	2015-07-01
P. Pekarík	31	Slovakia	Hertha BSC	2012-08-31
Ximo Navarro	28	Spain	Deportivo Alavés	2018-07-06
Pablo Hernández	33	Spain	Leeds United	2017-01-09
G. Kashia	30	Georgia	San Jose Earthquakes	2018-07-10
Cássio	37	Brazil	Al Taawoun	2018-07-01
S. Bamba	33	Ivory Coast	Cardiff City	2016-10-11
S. Kums	30	Belgium	RSC Anderlecht	2017-07-01
Fábio Martins	24	Portugal	SC Braga	2014-07-01
M. Suárez	30	Argentina	Belgrano de Córdoba	2016-07-06
S. Mitrović	28	Serbia	RC Strasbourg Alsace	2018-07-01
D. Aogo	31	Germany	VfB Stuttgart	2017-08-09
B. Engels	23	Belgium	Stade de Reims	2017-08-31
F. Tait	25	France	Angers SCO	2016-07-01
D. Zagadou	19	France	Borussia Dortmund	2017-07-01
M. Diamé	31	Senegal	Newcastle United	2016-08-03
A. Younes	24	Germany	Napoli	2018-07-01
B. Verstraete	24	Belgium	KAA Gent	2017-01-17
K. Akpoguma	23	Germany	TSG 1899 Hoffenheim	2013-07-01
B. Santamaria	23	France	Angers SCO	2016-07-01
E. Moretti	37	Italy	Torino	2013-07-11
H. Behrens	28	Germany	1. FC Nürnberg	2015-07-01
M. Maignan	22	France	LOSC Lille	2015-08-18
Y. Karamoh	19	France	FC Girondins de Bordeaux	NA
V. Ignatiev	31	Russia	Lokomotiv Moscow	2016-02-10
A. Thomasson	24	France	RC Strasbourg Alsace	2018-07-01
D. Amartey	23	Ghana	Leicester City	2016-02-05
R. Özcan	34	Austria	Bayer 04 Leverkusen	2016-07-01
A. Donnarumma	27	Italy	Brescia	2018-07-14
Timor	28	Spain	UD Las Palmas	2018-08-31
C. McGregor	25	Scotland	Celtic	2009-07-07
R. Martínez	24	Colombia	Club América	2018-07-02
V. Buyalskyi	25	Ukraine	Dynamo Kyiv	2010-07-01
H. Arter	28	Republic of Ireland	Cardiff City	NA
A. Mawson	24	England	Fulham	2018-08-02
F. Guilbert	23	France	Stade Malherbe Caen	2017-07-28
M. Lemos	22	Uruguay	Sassuolo	NA
S. Sturaro	25	Italy	Sporting CP	NA
A. Duncan	25	Ghana	Sassuolo	2016-06-30
Marlon	22	Brazil	Sassuolo	2018-08-16
M. Isla	30	Chile	Fenerbahçe SK	2017-07-21
Thiago Maia	21	Brazil	LOSC Lille	2017-07-25
Y. Aït Bennasser	21	Morocco	AS Monaco	2016-07-01
O. Toivonen	31	Sweden	Melbourne Victory	2018-08-31
J. Urretaviscaya	28	Uruguay	Monterrey	2018-01-01
Yuri Ribeiro	21	Portugal	SL Benfica	2017-01-01
N. Tomović	30	Serbia	Chievo Verona	2018-07-16
F. Roncaglia	31	Argentina	RC Celta	2016-07-12
R. Botta	28	Argentina	San Lorenzo de Almagro	2017-02-02
R. Mandragora	21	Italy	Udinese	2018-07-26
A. Adomah	30	Ghana	Aston Villa	2016-08-31
D. Samassékou	22	Mali	FC Red Bull Salzburg	2015-08-17
M. Yoshida	29	Japan	Southampton	2012-08-30
N. Viergever	28	Netherlands	PSV	2018-07-01
R. Amalfitano	28	France	Dijon FCO	2014-07-01
D. Cataldi	23	Italy	Lazio	2011-07-01
Martín	22	Spain	Deportivo Alavés	2014-07-01
Tiago Pinto	30	Portugal	MKE Ankaragücü	2018-07-16
Fernandinho	25	Brazil	Chongqing Dangdai Lifan FC SWM Team	2016-01-08
C. Cueva	26	Peru	NA	NA
M. Gaćinović	23	Serbia	Eintracht Frankfurt	2015-08-12
G. Shoji	25	Japan	Kashima Antlers	2011-01-01
L. Rigoni	33	Italy	Parma	2018-08-19
M. Krmenčík	25	Czech Republic	Viktoria Plzeň	2010-07-01
M. Mevlja	28	Slovenia	NA	NA
C. Daniels	31	England	Bournemouth	2012-01-01
K. Stafylidis	24	Greece	FC Augsburg	2015-08-20
Sabin Merino	26	Spain	CD Leganés	NA
A. Flint	28	England	Middlesbrough	2018-06-27
Brais Méndez	21	Spain	RC Celta	2015-07-01
Merino	22	Spain	Real Sociedad	2018-07-12
S. Missiroli	32	Italy	SPAL	2018-08-17
Serantes	28	Spain	CD Leganés	2015-07-03
V. Guzmán	23	Mexico	Pachuca	2014-07-01
D. Biseswar	30	Netherlands	PAOK	2016-07-01
E. Mas	29	Argentina	Boca Juniors	2018-01-04
Nuno Pinto	31	Portugal	Vitória de Setúbal	2015-07-03
Carlos Mané	24	Portugal	Sporting CP	2012-07-01
Borja Valle	25	Spain	Deportivo de La Coruña	2016-07-01
Zeca	29	Greece	FC København	2017-08-28
C. Toselli	30	Chile	CD Everton de Viña del Mar	2018-07-17
M. Bizot	27	Netherlands	AZ Alkmaar	2017-07-01
K. Ayhan	23	Turkey	Fortuna Düsseldorf	2016-08-31
Ricardo Ferreira	25	Portugal	SC Braga	2015-07-01
N. Roux	30	France	En Avant de Guingamp	2018-07-01
Hernâni	26	Portugal	FC Porto	2015-02-02
M. Çağıran	25	Turkey	Çaykur Rizespor	2015-07-01
W. Morgan	34	Jamaica	Leicester City	2012-01-30
J. Alonso	25	Paraguay	RC Celta	NA
M. Wakaso	27	Ghana	Deportivo Alavés	2017-07-17
K. Traoré	26	Ivory Coast	NA	NA
Y. Mvogo	24	Switzerland	RB Leipzig	2017-07-01
Kaíquão Castro	34	Brazil	Fluminense	2018-01-01
K. Fofana	26	Ivory Coast	NA	NA
P. Hurtado	27	Peru	Atiker Konyaspor	2018-08-06
D. Bocanegra	31	Colombia	Atlético Nacional	2013-08-11
Melero	24	Spain	SD Huesca	2016-07-27
Borja Bastón	25	Spain	Deportivo Alavés	NA
O. Murillo	30	Colombia	Pachuca	2016-01-01
O. Onazi	25	Nigeria	Trabzonspor	2016-08-03
C. Günter	25	Germany	SC Freiburg	2012-07-01
I. Amadou	25	France	Sevilla FC	2018-07-02
Unai López	22	Spain	Athletic Club de Bilbao	2013-07-01
K. Iheanacho	21	Nigeria	Leicester City	2017-08-03
C. Söyüncü	22	Turkey	Leicester City	2018-08-09
B. Pearson	23	England	Preston North End	2016-01-11
F. Niederlechner	27	Germany	SC Freiburg	2017-05-03
S. Denswil	25	Netherlands	Club Brugge KV	2015-01-05
G. Rodríguez	34	Argentina	San Lorenzo de Almagro	2017-07-10
P. Guiñazú	39	Argentina	Club Atlético Talleres	2016-01-20
H. Hateboer	24	Netherlands	Atalanta	2017-01-31
I. Fernández	28	Argentina	River Plate	2016-01-12
L. Blas	20	France	En Avant de Guingamp	2015-07-01
M. Sarr	19	France	OGC Nice	2016-07-01
Mikel Rico	33	Spain	Athletic Club de Bilbao	2013-08-22
F. Neuhaus	21	Germany	Borussia Mönchengladbach	2017-07-01
S. İnan	33	Turkey	Galatasaray SK	2011-07-14
C. Maggio	36	Italy	Benevento	2018-07-06
Mexer	29	Mozambique	Stade Rennais FC	2014-07-01
F. Magnanelli	33	Italy	Sassuolo	2005-07-01
J. Figal	24	Argentina	Independiente	2014-07-01
V. Claesson	26	Sweden	NA	NA
F. Helander	25	Sweden	Bologna	2015-07-22
J. Gondorf	30	Germany	SC Freiburg	2018-07-01
R. Ghezzal	26	Algeria	Leicester City	2018-08-05
Adama	22	Spain	Wolverhampton Wanderers	2018-08-08
O. Duda	23	Slovakia	Hertha BSC	2016-07-20
R. Bensebaini	23	Algeria	Stade Rennais FC	2016-07-13
L. Depoitre	29	Belgium	Huddersfield Town	2017-07-01
N. Vlašić	20	Croatia	PFC CSKA Moscow	2017-08-31
Rochina	27	Spain	Levante UD	2018-07-02
M. Doherty	26	Republic of Ireland	Wolverhampton Wanderers	2010-08-01
C. Musonda	21	Belgium	Vitesse	NA
João Teixeira	25	Portugal	Vitória Guimarães	2018-07-26
S. Ward	32	Republic of Ireland	Burnley	2014-08-15
Y. Cardinale	24	France	OGC Nice	2015-07-01
S. Francis	33	England	Bournemouth	2012-01-01
Lafortiscinho	26	Brazil	Botafogo	2018-01-01
M. Valdifiori	32	Italy	SPAL	2018-08-16
Rubén Pérez	29	Spain	CD Leganés	2018-07-06
D. Boyata	27	Belgium	Celtic	2015-06-02
N. Mendy	26	France	Leicester City	2016-07-03
A. Martín Arias	25	Argentina	Gimnasia y Esgrima La Plata	2013-01-01
Pedraza	22	Spain	Villarreal CF	2014-07-01
Ricardo	35	Portugal	GD Chaves	2017-07-01
Tarantini	34	Portugal	Rio Ave FC	2008-07-01
K. Stöger	24	Austria	Fortuna Düsseldorf	2018-07-01
C. Mbemba	23	DR Congo	FC Porto	2018-07-23
A. Limbombe	23	Belgium	FC Nantes	2018-08-23
K. McDonald	29	Scotland	Fulham	2016-07-22
O. Niasse	28	Senegal	Everton	2016-02-01
G. Herrera	26	Argentina	Club Atlético Talleres	2016-01-11
R. Borré	22	Colombia	River Plate	2017-08-05
E. Zukanović	31	Bosnia Herzegovina	Genoa	2018-07-01
A. Elis	22	Honduras	Houston Dynamo	2018-01-01
M. Fernández	32	Chile	Club Necaxa	2017-09-08
D. Rodríguez	28	Uruguay	Club Tijuana	2018-07-23
T. Klose	30	Switzerland	Norwich City	2016-01-18
A. Cornelius	25	Denmark	FC Girondins de Bordeaux	NA
Kwon Chang Hoon	24	Korea Republic	Dijon FCO	2017-01-18
C. Larin	23	Canada	Beşiktaş JK	2018-01-31
Tchê Tchê	25	Brazil	Dynamo Kyiv	2018-07-01
M. Leckie	27	Australia	Hertha BSC	2017-07-01
L. Quiñones	27	Colombia	Deportivo Toluca	NA
Fontàs	28	Spain	Sporting Kansas City	2018-08-08
K. Vermeer	32	Netherlands	Feyenoord	2014-09-01
A. Surman	31	England	Bournemouth	2014-09-01
M. Höger	28	Germany	1. FC Köln	2016-07-01
S. Dann	31	England	Crystal Palace	2014-01-31
Jovane Cabral	20	Cape Verde	Sporting CP	2015-07-01
C. Cathcart	29	Northern Ireland	Watford	2014-06-24
Zaldúa	26	Spain	Real Sociedad	2014-07-01
Pelé	26	Guinea Bissau	AS Monaco	2018-07-06
M. Kelly	28	England	Crystal Palace	2014-08-14
Y. Bolasie	29	DR Congo	Aston Villa	NA
L. Zelarayán	26	Argentina	Tigres U.A.N.L.	2015-01-01
Gelson Fernandes	31	Switzerland	Eintracht Frankfurt	2017-07-01
D. Glushakov	31	Russia	Spartak Moscow	2013-07-01
Lee Jae Sung	25	Korea Republic	Holstein Kiel	2018-07-27
Baiano	31	Brazil	Alanyaspor	2018-07-01
A. Hurtado	31	Colombia	Monterrey	2017-06-14
A. Mierzejewski	31	Poland	Changchun Yatai FC	2018-07-07
V. Janssen	24	Netherlands	Tottenham Hotspur	2016-07-18
E. Paredes	37	Chile	Colo-Colo	2014-01-11
B. Alemán	28	Uruguay	Ettifaq FC	2018-07-25
P. Retsos	19	Greece	Bayer 04 Leverkusen	2017-08-31
J. Hernández	19	Colombia	SD Huesca	NA
S. Corchia	27	France	SL Benfica	NA
Rubén Pardo	25	Spain	Real Sociedad	2011-10-01
P. Goltz	33	Argentina	Boca Juniors	2017-07-06
D. Türüç	25	Turkey	Kayserispor	2015-07-28
B. Mechele	25	Belgium	Club Brugge KV	2012-11-01
Kaimo Lima	34	Brazil	Fluminense	2018-01-01
R. Rodelin	28	France	En Avant de Guingamp	2018-08-14
Bobô	33	Brazil	Alanyaspor	2018-07-09
L. Ciman	32	Belgium	Dijon FCO	2018-08-28
D. Ba	33	Senegal	Shanghai Greenland Shenhua FC	2018-07-01
H. Medunjanin	33	Bosnia Herzegovina	Philadelphia Union	2017-01-31
José Cañas	31	Spain	PAOK	2016-07-13
Y. Osorio	24	Venezuela	Vitória Guimarães	NA
Titi	30	Brazil	Göztepe SK	2018-08-06
Carles Gil	25	Spain	Deportivo de La Coruña	2018-07-01
P. Lasne	29	France	Montpellier HSC	2014-07-01
Lekue	25	Spain	Athletic Club de Bilbao	2015-08-25
A. Silva	28	Uruguay	Montreal Impact	2018-03-26
A. Danjuma Groeneveld	21	Netherlands	Club Brugge KV	2018-07-01
C. Luyindama	24	DR Congo	Standard de Liège	2017-05-18
L. González Pirez	26	Argentina	Atlanta United	2017-01-26
Sergio Álvarez	26	Spain	SD Eibar	2018-07-26
M. Cornet	21	Ivory Coast	Olympique Lyonnais	2015-01-15
M. Schnatterer	32	Germany	1. FC Heidenheim 1846	2008-07-01
O. Kharbin	24	Syria	Al Hilal	2017-01-11
Sergi Guardiola	27	Spain	Getafe CF	NA
T. Souček	23	Czech Republic	SK Slavia Praha	2014-07-01
Y. Ravet	28	France	SC Freiburg	2017-08-26
T. Serero	28	South Africa	Vitesse	2017-07-01
B. Douglas	28	Scotland	Leeds United	2018-07-28
S. Johnstone	25	England	West Bromwich Albion	2018-07-03
Medrán	24	Spain	Rayo Vallecano	NA
J. Corona	37	Mexico	Cruz Azul	2009-06-01
I. Fetfatzidis	27	Greece	Olympiacos CFP	2018-07-01
S. Romero	29	Argentina	Independiente	2018-01-30
B. Jokič	32	Slovenia	NA	NA
S. Sinclair	29	England	Celtic	2016-08-07
L. Krejčí	25	Czech Republic	Bologna	2016-07-07
L. Orbán	29	Argentina	Racing Club	2017-07-01
A. Hamdallah	27	Morocco	Al Nassr	2018-08-23
R. Tapia	22	Peru	Feyenoord	2016-01-27
O. Watkins	22	England	Brentford	2017-07-18
Duirval Diniz	34	Brazil	Atlético Paranaense	2018-01-01
Arribas	29	Spain	U.N.A.M.	2017-01-01
B. Dabo	26	Burkina Faso	Fiorentina	2018-01-31
G. Lezcano	31	Argentina	Monarcas Morelia	2017-01-22
Bebeto	28	Brazil	Clube Sport Marítimo	2017-07-01
L. Sobiech	27	Germany	1. FC Köln	2018-07-01
Guerrero	27	Spain	Olympiacos CFP	2018-07-01
K. Boutaïb	31	Morocco	Yeni Malatyaspor	2017-06-28
T. Hlatshwayo	28	South Africa	NA	NA
M. Krohn-Dehli	35	Denmark	Deportivo de La Coruña	2018-01-29
Lucas Torró	23	Spain	Eintracht Frankfurt	2018-07-05
J. Vossen	29	Belgium	Club Brugge KV	2015-08-31
J. Rodríguez	25	Mexico	Lobos BUAP	NA
M. Pasqual	36	Italy	Empoli	2016-05-31
Zubeldia	21	Spain	Real Sociedad	2015-07-01
Da Costa	34	Brazil	Bologna	2015-01-21
D. Kolář	32	Czech Republic	Viktoria Plzeň	2017-07-01
M. Zaldivia	27	Argentina	Colo-Colo	2016-01-21
S. Ghoddos	24	Iran	Amiens SC	2018-08-23
A. Bălută	24	Romania	SK Slavia Praha	2018-07-01
T. Melia	32	United States	Sporting Kansas City	2014-12-23
A. Di Gaudio	28	Italy	Parma	2017-07-26
N. Milenković	20	Serbia	Fiorentina	2017-07-10
V. Demirel	36	Turkey	Fenerbahçe SK	2002-08-06
L. Cooper	26	Scotland	Leeds United	2014-08-13
Edercinho Sepa	30	Brazil	Grêmio	2018-01-01
A. Morelos	22	Colombia	Rangers FC	2017-07-01
J. Chester	29	Wales	Aston Villa	2016-08-12
D. Sakho	28	Senegal	Bursaspor	NA
E. Velázquez	24	Uruguay	Rayo Vallecano	2018-07-23
M. Waris	26	Ghana	FC Nantes	NA
T. Matavž	29	Slovenia	Vitesse	2017-07-01
Y. Khacheridi	30	Ukraine	PAOK	2018-07-01
Y. Gerhardt	24	Germany	VfL Wolfsburg	2016-07-01
K. Laifis	25	Cyprus	Standard de Liège	2018-05-08
J. Hoilett	28	Canada	Cardiff City	2016-10-10
Pascoal Muscato	26	Brazil	Santos	2018-01-01
J. Furch	28	Argentina	Santos Laguna	2017-01-01
Fransérgio	27	Brazil	SC Braga	2017-07-01
S. Gümüş	24	Germany	Galatasaray SK	2014-07-08
Anselmo	29	Brazil	Al Wehda	2018-07-01
J. Silva	24	Argentina	CD Leganés	NA
Manquillo	24	Spain	Newcastle United	2017-07-21
Daniel Candeias	30	Portugal	Rangers FC	2017-07-01
R. Rey	27	Argentina	PAOK	2017-07-12
U. Račić	20	Serbia	Valencia CF	2018-07-02
André Sousa	27	Portugal	Real Sporting de Gijón	NA
G. Ortíz	25	Argentina	Club Atlético Colón	2017-07-01
A. Ademi	27	FYR Macedonia	Dinamo Zagreb	2010-07-01
P. Roberts	21	England	Girona FC	NA
Daniel Ayala	27	Spain	Middlesbrough	2014-01-24
M. Kempf	23	Germany	VfB Stuttgart	2018-07-01
R. Khedira	24	Germany	FC Augsburg	2017-07-01
M. Casco	30	Argentina	River Plate	2015-09-09
Caio Milaçar	34	Brazil	Ceará Sporting Club	2018-01-01
O. Norwood	27	Northern Ireland	Sheffield United	NA
C. Träsch	30	Germany	FC Ingolstadt 04	2017-08-30
C. Atsu	26	Ghana	Newcastle United	2017-06-09
A. Touré	22	Mali	AS Monaco	2015-01-01
Eduardo	35	Portugal	Vitesse	NA
M. Andújar	34	Argentina	Estudiantes de La Plata	2016-07-25
K. Olsson	23	Sweden	AIK	2017-01-31
E. Krafth	23	Sweden	Amiens SC	NA
R. Jack	26	Scotland	Rangers FC	2017-07-01
M. Luongo	25	Australia	Queens Park Rangers	2015-05-28
L. Jara	27	Argentina	Boca Juniors	2016-01-04
M. Andreolli	32	Italy	Cagliari	2017-07-07
A. Chahechouhe	31	Morocco	Fenerbahçe SK	2016-04-07
I. Kutepov	24	Russia	Spartak Moscow	2012-07-01
J. Pivarić	29	Croatia	Dynamo Kyiv	2017-08-08
E. Goldaniga	24	Italy	Frosinone	NA
Elias Fontoira	34	Brazil	Internacional	2018-01-01
E. Saric	27	Bosnia Herzegovina	Suwon Samsung Bluewings	2018-07-09
S. Al Faraj	28	Saudi Arabia	Al Hilal	2016-01-22
L. Crisetig	25	Italy	Frosinone	NA
A. Pritchard	25	England	Huddersfield Town	2018-01-12
D. Calvert-Lewin	21	England	Everton	2016-08-31
T. Koopmeiners	20	Netherlands	AZ Alkmaar	2017-08-13
Joselu	28	Spain	Newcastle United	2017-08-16
G. Svensson	31	Sweden	Seattle Sounders FC	2017-01-30
Enaldo Praz	30	Brazil	Grêmio	2018-01-01
L. Griffiths	27	Scotland	Celtic	2014-01-31
W. Katsande	32	Zimbabwe	Kaizer Chiefs	2011-06-01
S. Kırıntılı	33	Turkey	Atiker Konyaspor	2015-07-06
E. Crivelli	23	France	Stade Malherbe Caen	2018-07-01
Jairo	24	Spain	Hamburger SV	2018-07-05
R. Bazoer	21	Netherlands	FC Porto	NA
G. Cunningham	27	Republic of Ireland	Cardiff City	2018-06-13
C. Berra	33	Scotland	Heart of Midlothian	2017-07-01
A. Beck	31	Germany	VfB Stuttgart	2017-08-31
K. Roofe	25	England	Leeds United	2016-07-07
G. Imbula	25	France	Rayo Vallecano	NA
D. Royer	28	Austria	New York Red Bulls	2016-08-03
C. Njie	24	Cameroon	Olympique de Marseille	2017-07-16
K. Lawrence	25	Jamaica	New York Red Bulls	2015-03-16
N. Sánchez	32	Argentina	Monterrey	2017-01-01
N. Benezet	27	France	En Avant de Guingamp	2015-07-08
O. Şahan	31	Turkey	Trabzonspor	2017-01-12
M. Besler	31	United States	Sporting Kansas City	2009-01-15
D. Falcinelli	27	Italy	Bologna	2018-07-04
L. Moore	25	England	Reading	2016-08-20
A. Aguilar	33	Colombia	FC Dallas	2018-08-27
Dani Raba	22	Spain	Villarreal CF	2016-07-01
B. Poulain	30	France	Club Brugge KV	2016-01-22
Y. Nagatomo	31	Japan	Galatasaray SK	2018-07-01
Raúl Fernández	30	Spain	UD Las Palmas	2018-07-23
Alberto	33	Spain	Rayo Vallecano	2018-07-02
J. Obi	27	Nigeria	Chievo Verona	2018-08-12
C. Hourihane	27	Republic of Ireland	Aston Villa	2017-01-26
B. Kuwas	25	Curacao	Heracles Almelo	2016-07-01
Jailson Caeiro	26	Brazil	Botafogo	2018-01-01
D. Chará	32	Colombia	Portland Timbers	2011-01-01
T. Mykhalyk	34	Ukraine	Lokomotiv Moscow	2013-06-18
M. Bešić	25	Bosnia Herzegovina	Middlesbrough	NA
Alexis	32	Spain	Al Ahli	2018-07-01
E. Puch	31	Chile	Querétaro	NA
Kel Perinho	34	Brazil	Chapecoense	2018-01-01
C. Coady	25	England	Wolverhampton Wanderers	2015-07-03
M. Estigarribia	30	Paraguay	Club Atlético Colón	2017-01-25
E. Sviatchenko	26	Denmark	FC Midtjylland	2018-07-01
R. Ortiz	28	Paraguay	NA	NA
Hugo Goiteira	26	Brazil	Ceará Sporting Club	2018-01-01
L. Dimata	20	Belgium	RSC Anderlecht	NA
André Horta	21	Portugal	Los Angeles FC	2018-07-10
Fábio Melitinho	34	Brazil	Fluminense	2018-01-01
R. Quaison	24	Sweden	1. FSV Mainz 05	2017-01-31
Luiz Felipe	21	Brazil	Lazio	2016-08-31
T. Sippel	30	Germany	Borussia Mönchengladbach	2015-07-01
B. Nuytinck	28	Netherlands	Udinese	2017-07-31
J. Buffarini	29	Argentina	Boca Juniors	2017-12-27
A. Wakaso	26	Ghana	Vitória Guimarães	2017-08-28
N. Silva	28	Argentina	Club Atlético Banfield	2018-08-07
Castro	30	Portugal	Göztepe SK	2017-07-08
M. Hedges	28	United States	FC Dallas	2012-01-01
João Pereira	34	Portugal	Trabzonspor	2017-01-04
Insua	24	Spain	SD Huesca	NA
Róber	23	Spain	Levante UD	NA
Osvaldo Lodeiro	30	Brazil	América FC (Minas Gerais)	2018-01-01
Míchel	29	Spain	Real Valladolid CF	2016-08-17
N. Maupay	21	France	Brentford	2017-07-14
J. Rodríguez	24	Uruguay	Santos Laguna	2016-06-14
E. Mor	20	Turkey	RC Celta	2017-08-29
Lato	20	Spain	Valencia CF	2015-07-01
Fernandão	31	Brazil	Al Wehda	2018-07-01
O. Martínez	32	Paraguay	Santos Laguna	2017-01-01
Suk Hyun Jun	27	Korea Republic	Stade de Reims	2018-08-09
N. Maksimović	23	Serbia	Getafe CF	2018-07-16
J. Kembo-Ekoko	30	DR Congo	Bursaspor	2017-08-22
S. Anđelković	32	Slovenia	Venezia FC	2017-07-29
A. Katai	27	Serbia	Chicago Fire	2018-07-11
Fabiano Sonta	26	Brazil	Fluminense	2018-01-01
A. Ioniţă	27	Moldova	Cagliari	2016-06-30
Seoane	35	Spain	CD Lugo	2012-08-01
C. Pizarro	39	Peru	SV Werder Bremen	2018-07-29
Ivo	31	Brazil	Henan Jianye FC	2018-06-18
L. Sané	31	Senegal	Orlando City SC	2018-02-20
Iñigo Pérez	30	Spain	CA Osasuna	2018-07-02
D. Kreilach	29	Croatia	Real Salt Lake	2018-02-08
T. Fosu-Mensah	20	Netherlands	Fulham	NA
S. Grandsir	21	France	AS Monaco	2018-07-01
B. van Leer	26	Netherlands	NAC Breda	NA
Diogo Leite	19	Portugal	FC Porto	2017-07-01
Davidson	27	Brazil	Vitória Guimarães	2018-07-02
Dídac Vilà	29	Spain	RCD Espanyol	2017-08-30
A. Ciciretti	24	Italy	Parma	NA
Jorge	22	Brazil	FC Porto	NA
E. Didot	34	France	En Avant de Guingamp	2016-07-01
Marlon Nideiro	34	Brazil	Grêmio	2018-01-01
B. Bereszyński	25	Poland	Sampdoria	2017-01-04
A. Hassan	25	Egypt	Olympiacos CFP	2015-08-26
Jacson Zonta	34	Brazil	Vitória	2018-01-01
R. Fanni	36	France	Montreal Impact	2018-03-05
A. Diamanti	35	Italy	Livorno	2018-07-13
E. Cardona	25	Colombia	Boca Juniors	NA
S. Prcić	24	Bosnia Herzegovina	Levante UD	2018-08-01
Leo Caldeirinha	34	Brazil	Vitória	2018-01-01
T. Sainsbury	26	Australia	PSV	2018-08-07
Edgar Ié	24	Portugal	LOSC Lille	2017-07-05
Alvildo Sousa	34	Brazil	Sport Club do Recife	2018-01-01
F. Đuričić	26	Serbia	Sassuolo	2018-07-02
J. Boëtius	24	Netherlands	1. FSV Mainz 05	2018-08-27
F. Mubele	24	DR Congo	Toulouse Football Club	2018-07-01
A. Chávez	27	Argentina	Club Atlético Huracán	2018-01-25
V. Kovalenko	22	Ukraine	Shakhtar Donetsk	2013-07-01
Y. Kaboul	32	France	Watford	2016-08-19
R. Meggiorini	32	Italy	Chievo Verona	2014-07-02
B. Sagna	35	France	Montreal Impact	2018-08-08
Kahraba	24	Egypt	NA	NA
Rafael Vaz	29	Brazil	Universidad de Chile	2016-06-07
Robson Denho	26	Brazil	Sport Club do Recife	2018-01-01
Renatinho	29	Brazil	Guangzhou R&F; FC	2015-07-15
J. Toljan	23	Germany	Borussia Dortmund	2017-08-30
Claudiano Sobrino	34	Brazil	Chapecoense	2018-01-01
S. M'Bia	32	Cameroon	Toulouse Football Club	2018-08-17
Hélton Celanova	26	Brazil	Internacional	2018-01-01
S. Sosa	31	Uruguay	Monarcas Morelia	2015-07-20
Erick Gameira	26	Brazil	Atlético Paranaense	2018-01-01
Pol Lirola	20	Spain	Sassuolo	2018-01-31
M. Jajalo	30	Bosnia Herzegovina	Palermo	2015-01-30
H. Mukhtar	23	Germany	Brøndby IF	2015-01-15
William	23	Brazil	VfL Wolfsburg	2017-07-01
G. Bong	30	Cameroon	Brighton & Hove Albion	2015-07-02
N. Hult	28	Sweden	AEK Athens	2018-01-31
J. Geis	24	Germany	FC Schalke 04	2015-07-01
L. Cavallini	25	Canada	Puebla FC	2018-07-06
P. Verhaegh	34	Netherlands	VfL Wolfsburg	2017-08-07
Jadson Vidigal	26	Brazil	Grêmio	2018-01-01
Álvaro Jiménez	23	Spain	Real Sporting de Gijón	NA
O. Vranješ	28	Bosnia Herzegovina	RSC Anderlecht	2018-07-01
M. Bauer	26	Austria	Stoke City	2018-01-09
O. Kayode	25	Nigeria	Shakhtar Donetsk	2018-07-01
I. Nestorovski	28	FYR Macedonia	Palermo	2016-08-03
F. Castillo	26	Colombia	Club Tijuana	2018-07-26
